role_scope,menu_code,feature_code,screen_id,endpoint,data_scope,ui_actions,approval_authority,exceptions,notes
ROLE_OPERATION_ADMIN,AMENU_MEMBER,MEMBER_LIST_*|MEMBER_DETAIL_*|MEMBER_EDIT_*|MEMBER_APPROVE_*|COMPANY_APPROVE_*|COMPANY_LIST_*|COMPANY_DETAIL_*|COMPANY_ACCOUNT_*,ADMIN-MEMBER-OPS-SCOPED,/admin/member/list,INSTT_SCOPED,"view,update,approve",N,"본인 회사 범위만","운영 관리자는 본인 회사 범위 회원/회원사 운영과 승인 처리 담당"
ROLE_SYSTEM_ADMIN,AMENU_SYSTEM,SR_WORKBENCH_*|MENU_MANAGEMENT_*|PAGE_CODE_VIEW|FEATURE_CODE|AUTH_GROUP_*|DEPT_ROLE_MAPPING_*|ADMIN_PERMISSION_*,ADMIN-SYSTEM-OPS,/admin/system/sr-workbench,GLOBAL,"view,create,update,approve,execute",Y,,"시스템 관리자는 시스템 운영, 권한, 자동화 승인/실행까지 담당"
ROLE_SYSTEM_MASTER,AMENU_PLATFORM_BUILDER,BUILDER_*|THEME_*|K8S_*|DEPLOY_*|ROLLBACK_*|VERSION_CONTROL_*|AI_AGENT_EXECUTE,PLATFORM-BUILDER-OPS,/admin/system/platform-install,GLOBAL,"view,build,theme,deploy,rollback,version,execute",Y,"운영 콘솔 전용","빌더, 테마관리, k8s 배포, 버전관리, 이관/롤백, AI agent 실행은 시스템 마스터 전용"
ROLE_DEPT_I{INSTT_LAST8}_ESG,AMENU_MEMBER,MEMBER_LIST_VIEW|MEMBER_DETAIL_VIEW|MEMBER_EDIT_VIEW|COMPANY_LIST_VIEW|COMPANY_DETAIL_VIEW,COMPANY-DEPT-SUSTAINABILITY,/admin/member/list,INSTT_SCOPED,"view,edit",N,"회원사 instt_id 마지막 8자리 치환","탄소/ESG 부서용 기준 롤"
ROLE_DEPT_I{INSTT_LAST8}_PROD,AMENU_EMISSION,EMISSION_RESULT_LIST_VIEW|MEMBER_LIST_VIEW|MEMBER_DETAIL_VIEW|COMPANY_DETAIL_VIEW,COMPANY-DEPT-PRODUCTION,/admin/emission/result_list,INSTT_SCOPED,"view",N,"회원사 instt_id 마지막 8자리 치환","생산/공정 부서용 기준 롤"
ROLE_DEPT_I{INSTT_LAST8}_PROC,AMENU_MEMBER,MEMBER_LIST_VIEW|MEMBER_DETAIL_VIEW|COMPANY_LIST_VIEW|COMPANY_DETAIL_VIEW,COMPANY-DEPT-PROCUREMENT,/admin/member/company_list,INSTT_SCOPED,"view",N,"회원사 instt_id 마지막 8자리 치환","구매/SCM 부서용 기준 롤"
ROLE_DEPT_I{INSTT_LAST8}_QUAL,AMENU_MEMBER,MEMBER_APPROVE_*|COMPANY_APPROVE_*|MEMBER_LIST_VIEW|MEMBER_DETAIL_VIEW|COMPANY_DETAIL_VIEW,COMPANY-DEPT-QUALITY,/admin/member/approve,INSTT_SCOPED,"view,approve,reject",N,"회원사 instt_id 마지막 8자리 치환","품질/인증/심사 부서용 기준 롤"
ROLE_DEPT_I{INSTT_LAST8}_SALE,AMENU_MEMBER,MEMBER_LIST_VIEW|MEMBER_DETAIL_VIEW|COMPANY_LIST_VIEW|COMPANY_DETAIL_VIEW|COMPANY_ACCOUNT_VIEW,COMPANY-DEPT-SALES,/admin/member/company_detail,INSTT_SCOPED,"view",N,"회원사 instt_id 마지막 8자리 치환","영업/고객사 관리 부서용 기준 롤"
ROLE_DEPT_I{INSTT_LAST8}_CS,AMENU_MEMBER,MEMBER_LIST_VIEW|MEMBER_DETAIL_VIEW|MEMBER_EDIT_VIEW|COMPANY_DETAIL_VIEW,COMPANY-DEPT-CS,/admin/member/detail,INSTT_SCOPED,"view,edit",N,"회원사 instt_id 마지막 8자리 치환","고객지원 부서용 기준 롤"
ROLE_DEPT_I{INSTT_LAST8}_MGMT,AMENU_MEMBER,MEMBER_LIST_VIEW|MEMBER_DETAIL_VIEW|MEMBER_EDIT_VIEW|COMPANY_LIST_VIEW|COMPANY_DETAIL_VIEW|COMPANY_ACCOUNT_VIEW,COMPANY-DEPT-MANAGEMENT,/admin/member/company_account,INSTT_SCOPED,"view,edit",N,"회원사 instt_id 마지막 8자리 치환","경영지원/재무/인사 부서용 기준 롤"
