table_name,screen_id,screen_family,api_id,controller_action,query_id,write_type,data_sensitivity,audit_required,notes
COMTNUSERFEATUREOVERRIDE,ADMIN-ADMIN-ACCOUNT,admin-account-management,ADMIN-ADMIN-PERMISSION-SAVE,AdminMainController.adminAccountPermissionsSubmitApi,AuthGroupManageMapper.deleteUserFeatureOverrides / insertUserFeatureOverride,UPSERT,MEDIUM,Y,관리자 기능 예외권한 저장 감사로그 필수
TRACE_EVENT,COMMON-TELEMETRY,common-telemetry,FRONTEND-TELEMETRY-INGEST,TelemetryController.ingestEvents,ObservabilityMapper.insertTraceEvent,INSERT,LOW,N,프런트 page_view ui_action function_call api_request api_response 이벤트 배치 적재
UI_PAGE_MANIFEST,ADMIN-HELP-MANAGEMENT,help-management,ADMIN-SCREEN-COMMAND-PAGE,AdminHelpManagementController.getScreenCommandPage,ObservabilityMapper.insertUiPageManifest / updateUiPageManifest,UPSERT,LOW,N,선택 화면 page manifest 메타데이터를 registry 테이블에 동기화
UI_COMPONENT_REGISTRY,ADMIN-HELP-MANAGEMENT,help-management,ADMIN-SCREEN-COMMAND-PAGE,AdminHelpManagementController.getScreenCommandPage,ObservabilityMapper.insertUiComponentRegistry / updateUiComponentRegistry,UPSERT,LOW,N,선택 화면 surface 기준 component registry 메타데이터를 동기화
UI_PAGE_COMPONENT_MAP,ADMIN-HELP-MANAGEMENT,help-management,ADMIN-SCREEN-COMMAND-PAGE,AdminHelpManagementController.getScreenCommandPage,ObservabilityMapper.deleteUiPageComponentMaps / insertUiPageComponentMap,UPSERT,LOW,N,선택 화면별 component 인스턴스와 layout zone 매핑을 동기화
UI_HELP_PAGE,ADMIN-HELP-MANAGEMENT,help-management,ADMIN-HELP-MANAGEMENT-PAGE,AdminHelpManagementController.getHelpPage,"HelpContentMapper.selectPage",SELECT,LOW,N,화면 도움말 기본 메타데이터 조회
UI_HELP_ITEM,ADMIN-HELP-MANAGEMENT,help-management,ADMIN-HELP-MANAGEMENT-SAVE,AdminHelpManagementController.saveHelpPage,"HelpContentMapper.replaceItems",UPSERT,LOW,Y,도움말 단계 재정렬 및 step 저장
COMTNMENUINFO,ADMIN-HELP-MANAGEMENT,help-management,ADMIN-SCREEN-COMMAND-PAGE,AdminHelpManagementController.getScreenCommandPage,"AuthGroupManageService.selectMenuCodeByMenuUrl",SELECT,LOW,N,선택한 화면 route/menu URL 기준 메뉴 코드 조회
COMTNMENUFUNCTIONINFO,ADMIN-HELP-MANAGEMENT,help-management,ADMIN-SCREEN-COMMAND-PAGE,AdminHelpManagementController.getScreenCommandPage,"AuthGroupManageService.selectFeatureCodesByMenuCode",SELECT,LOW,N,메뉴에 매핑된 기능코드 카탈로그 조회
COMTNAUTHORFUNCTIONRELATE,ADMIN-HELP-MANAGEMENT,help-management,ADMIN-SCREEN-COMMAND-PAGE,AdminHelpManagementController.getScreenCommandPage,"AuthGroupManageService.selectRequiredViewFeatureCodeByMenuUrl",SELECT,MEDIUM,N,페이지 기능 권한 판단 기준 조회
COMTCCMMNDETAILCODE,ADMIN-PAGE-MANAGEMENT,page-management,ADMIN-PAGE-MANAGEMENT-CREATE,AdminSystemCodeController.createPageManagement,AdminCodeManageMapper.insertPageManagementDetail,INSERT,LOW,Y,페이지 코드 상세 등록
COMTNMENUINFO,ADMIN-PAGE-MANAGEMENT,page-management,ADMIN-PAGE-MANAGEMENT-CREATE,AdminSystemCodeController.createPageManagement,AdminCodeManageMapper.insertPageManagementMenu,INSERT,LOW,Y,페이지 URL 아이콘 메타데이터 등록
COMTNMENUFUNCTIONINFO,ADMIN-PAGE-MANAGEMENT,page-management,ADMIN-PAGE-MANAGEMENT-CREATE,AdminSystemCodeController.createPageManagement,MenuFeatureManageMapper.insertMenuFeature,INSERT,LOW,Y,기본 PAGE_CODE_VIEW 기능 자동 생성
COMTCCMMNDETAILCODE,ADMIN-MENU-MANAGEMENT,menu-management,ADMIN-MENU-MANAGEMENT-CREATE-PAGE,AdminSystemCodeController.createMenuManagedPageApi,AdminCodeManageMapper.insertPageManagementDetail,INSERT,LOW,Y,메뉴 관리 빠른 등록 시 선택 그룹 하위 페이지 코드 상세 자동 생성
COMTNMENUINFO,ADMIN-MENU-MANAGEMENT,menu-management,ADMIN-MENU-MANAGEMENT-CREATE-PAGE,AdminSystemCodeController.createMenuManagedPageApi,AdminCodeManageMapper.insertPageManagementMenu,INSERT,LOW,Y,메뉴 관리 빠른 등록 시 URL/아이콘 메타데이터 자동 생성
COMTNMENUORDER,ADMIN-MENU-MANAGEMENT,menu-management,ADMIN-MENU-MANAGEMENT-CREATE-PAGE,AdminSystemCodeController.createMenuManagedPageApi,MenuInfoMapper.insertMenuOrder / updateMenuOrder,UPSERT,LOW,Y,새 페이지 메뉴 초기 정렬 순서 자동 반영
COMTNMENUFUNCTIONINFO,ADMIN-MENU-MANAGEMENT,menu-management,ADMIN-MENU-MANAGEMENT-CREATE-PAGE,AdminSystemCodeController.createMenuManagedPageApi,MenuFeatureManageMapper.insertMenuFeature,INSERT,LOW,Y,기본 PAGE_CODE_VIEW 기능 자동 생성
AUDIT_EVENT,ADMIN-MENU-MANAGEMENT,menu-management,ADMIN-MENU-MANAGEMENT-CREATE-PAGE,AdminSystemCodeController.createMenuManagedPageApi,AuditTrailService.record,INSERT,LOW,Y,메뉴 관리 빠른 등록 감사로그 저장
AUDIT_EVENT,ADMIN-MENU-MANAGEMENT,menu-management,ADMIN-MENU-MANAGEMENT-ORDER-SAVE,AdminSystemCodeController.saveMenuManagementOrder,AuditTrailService.record,INSERT,LOW,Y,메뉴 정렬 저장 감사로그 저장
UI_PAGE_MANIFEST,ADMIN-FULL-STACK-MANAGEMENT,full-stack-management,ADMIN-MENU-MANAGEMENT-CREATE-PAGE,AdminSystemCodeController.createMenuManagedPageApi,UiManifestRegistryService.syncPageRegistry,UPSERT,LOW,Y,메뉴 생성 직후 draft page manifest 자동 등록
UI_COMPONENT_REGISTRY,ADMIN-FULL-STACK-MANAGEMENT,full-stack-management,ADMIN-MENU-MANAGEMENT-CREATE-PAGE,AdminSystemCodeController.createMenuManagedPageApi,UiManifestRegistryService.syncPageRegistry,UPSERT,LOW,Y,초기 header/actions/content component registry 자동 등록
UI_PAGE_COMPONENT_MAP,ADMIN-FULL-STACK-MANAGEMENT,full-stack-management,ADMIN-MENU-MANAGEMENT-CREATE-PAGE,AdminSystemCodeController.createMenuManagedPageApi,UiManifestRegistryService.syncPageRegistry,UPSERT,LOW,Y,초기 page-component map 자동 등록
UI_PAGE_MANIFEST,ADMIN-FULL-STACK-MANAGEMENT,full-stack-management,ADMIN-HELP-SCREEN-COMMAND-PAGE,ScreenCommandCenterServiceImpl.getScreenCommandPage,ObservabilityMapper.selectUiPageManifest / selectUiPageManifestList,SELECT,LOW,N,screen command와 SR 워크벤치 목록이 draft manifest page까지 포함해 로드하고 route/domain/layout 기준 후보 이벤트·API·스키마를 생성
COMTCCMMNDETAILCODE,ADMIN-PAGE-MANAGEMENT,page-management,ADMIN-PAGE-MANAGEMENT-UPDATE,AdminSystemCodeController.updatePageManagement,AdminCodeManageMapper.updatePageManagementNames,UPDATE,LOW,Y,페이지명 다국어 수정
COMTNMENUINFO,ADMIN-PAGE-MANAGEMENT,page-management,ADMIN-PAGE-MANAGEMENT-UPDATE,AdminSystemCodeController.updatePageManagement,AdminCodeManageMapper.updatePageManagementMenu,UPDATE,LOW,Y,페이지 URL 아이콘 사용여부 수정
COMTNMENUFUNCTIONINFO,ADMIN-PAGE-MANAGEMENT,page-management,ADMIN-PAGE-MANAGEMENT-UPDATE,AdminSystemCodeController.updatePageManagement,MenuFeatureManageMapper.updateMenuFeatureMetadata,UPDATE,LOW,Y,기본 VIEW 기능 메타 동기화
COMTNAUTHORFUNCTIONRELATE,ADMIN-PAGE-MANAGEMENT,page-management,ADMIN-PAGE-MANAGEMENT-DELETE,AdminSystemCodeController.deletePageManagement,AuthGroupManageMapper.deleteAuthorFeatureRelationsByFeatureCode,DELETE,MEDIUM,Y,기본 VIEW 기능 삭제 전 권한 그룹 매핑 정리
COMTNUSERFEATUREOVERRIDE,ADMIN-PAGE-MANAGEMENT,page-management,ADMIN-PAGE-MANAGEMENT-DELETE,AdminSystemCodeController.deletePageManagement,AuthGroupManageMapper.deleteUserFeatureOverridesByFeatureCode,DELETE,MEDIUM,Y,기본 VIEW 기능 삭제 전 사용자 예외권한 정리
COMTNMENUFUNCTIONINFO,ADMIN-PAGE-MANAGEMENT,page-management,ADMIN-PAGE-MANAGEMENT-DELETE,AdminSystemCodeController.deletePageManagement,MenuFeatureManageMapper.deleteMenuFeature,DELETE,LOW,Y,기본 VIEW 기능 삭제
COMTCCMMNDETAILCODE,ADMIN-PAGE-MANAGEMENT,page-management,ADMIN-PAGE-MANAGEMENT-DELETE,AdminSystemCodeController.deletePageManagement,AdminCodeManageMapper.deletePageManagementDetail,DELETE,LOW,Y,페이지 코드 상세 삭제
COMTNMENUINFO,ADMIN-PAGE-MANAGEMENT,page-management,ADMIN-PAGE-MANAGEMENT-DELETE,AdminSystemCodeController.deletePageManagement,AdminCodeManageMapper.deletePageManagementMenu,DELETE,LOW,Y,페이지 메뉴 메타데이터 삭제
SR_TICKET_JSONL,ADMIN-SR-WORKBENCH,sr-workbench,ADMIN-SR-TICKET-CREATE,AdminSrWorkbenchController.createTicket,"SrTicketWorkbenchService.appendTicket",INSERT,MEDIUM,Y,파일 기반 SR 티켓 저장
SR_TICKET_JSONL,ADMIN-SR-WORKBENCH,sr-workbench,ADMIN-SR-TICKET-APPROVE,AdminSrWorkbenchController.approveTicket,"SrTicketWorkbenchService.saveTickets",UPDATE,MEDIUM,Y,승인/반려 상태와 코멘트 저장
SR_TICKET_JSONL,ADMIN-SR-WORKBENCH,sr-workbench,ADMIN-SR-TICKET-PREPARE-EXECUTION,AdminSrWorkbenchController.prepareExecution,"SrTicketWorkbenchService.saveTickets",UPDATE,MEDIUM,Y,Codex 실행 준비 상태 저장
SR_TICKET_JSONL,ADMIN-SR-WORKBENCH,sr-workbench,ADMIN-SR-TICKET-EXECUTE,AdminSrWorkbenchController.executeTicket,"SrTicketWorkbenchService.saveTickets",UPDATE,MEDIUM,Y,runner 시작/완료 상태와 실행 산출물 경로 저장
SR_CODEX_RUNNER_HISTORY_JSONL,ADMIN-SR-WORKBENCH,sr-workbench,ADMIN-SR-TICKET-EXECUTE,AdminSrWorkbenchController.executeTicket,"SrTicketCodexRunnerService.appendHistory",INSERT,MEDIUM,Y,티켓별 worktree 경로와 diff/검증/배포 훅 실행 이력 저장
COMTCCMMNDETAILCODE,ADMIN-CODEX-REQUEST,codex-request,ADMIN-CODEX-REQUEST-EXECUTE,CodexProvisionAdminApiController.execute,AdminCodeManageMapper.countDetailCode / CodexProvisioningService.provision,UPSERT,LOW,Y,Codex 요청이 페이지 detail code와 상위 코드 등록 여부를 검증 및 필요 시 생성
COMTNMENUINFO,ADMIN-CODEX-REQUEST,codex-request,ADMIN-CODEX-REQUEST-EXECUTE,CodexProvisionAdminApiController.execute,MenuInfoMapper.countMenuInfoByCode / CodexProvisioningService.provision,UPSERT,LOW,Y,메뉴 URL과 메뉴 코드 메타데이터 등록 및 재실행 점검
COMTNMENUFUNCTIONINFO,ADMIN-CODEX-REQUEST,codex-request,ADMIN-CODEX-REQUEST-EXECUTE,CodexProvisionAdminApiController.execute,MenuFeatureManageMapper.countFeatureCode / CodexProvisioningService.provision,UPSERT,LOW,Y,기능 코드 생성 및 기존 기능 존재 여부 확인
COMTNAUTHORFUNCTIONRELATE,ADMIN-CODEX-REQUEST,codex-request,ADMIN-CODEX-REQUEST-EXECUTE,CodexProvisionAdminApiController.execute,AuthGroupManageMapper.selectFeatureCodesByMenuCode,SELECT,MEDIUM,Y,권한 그룹에 연결된 기능 코드와 요청 featureCodes 일치 여부 점검
CODEX_HISTORY_JSONL,ADMIN-CODEX-REQUEST,codex-request,ADMIN-CODEX-REQUEST-HISTORY,CodexProvisionAdminApiController.history,CodexExecutionAdminService.readHistory,SELECT,MEDIUM,Y,최근 Codex 실행 이력과 점검 상태 조회
CODEX_HISTORY_JSONL,ADMIN-CODEX-REQUEST,codex-request,ADMIN-CODEX-REQUEST-REMEDIATE,CodexProvisionAdminApiController.remediate,CodexExecutionAdminService.appendHistory,INSERT,MEDIUM,Y,재실행 요청과 결과를 jsonl 이력에 추가
COMTCCMMNDETAILCODE,ADMIN-FULL-STACK-MANAGEMENT,full-stack-management,ADMIN-FULL-STACK-MANAGEMENT-PAGE,AdminSystemCodeController.fullStackManagementPageApi,MenuInfoMapper.selectMenuTreeList,SELECT,LOW,Y,풀스택 관리 화면이 메뉴 계층과 페이지 기본 메타데이터를 조회
COMTNMENUINFO,ADMIN-FULL-STACK-MANAGEMENT,full-stack-management,ADMIN-FULL-STACK-MANAGEMENT-PAGE,AdminSystemCodeController.fullStackManagementPageApi,MenuInfoMapper.selectMenuTreeList,SELECT,LOW,Y,풀스택 관리 화면이 URL과 아이콘 메타데이터를 조회
COMTNMENUORDER,ADMIN-FULL-STACK-MANAGEMENT,full-stack-management,ADMIN-FULL-STACK-MANAGEMENT-PAGE,AdminSystemCodeController.fullStackManagementPageApi,MenuInfoMapper.selectMenuTreeList,SELECT,LOW,Y,풀스택 관리 화면이 메뉴 정렬 정보를 조회
COMTNMENUFUNCTIONINFO,ADMIN-FULL-STACK-MANAGEMENT,full-stack-management,ADMIN-FULL-STACK-MANAGEMENT-PAGE,AdminSystemCodeController.fullStackManagementPageApi,MenuFeatureManageMapper.selectMenuFeatureList,SELECT,LOW,Y,풀스택 관리 화면이 연결된 기능 코드와 VIEW 권한 메타데이터를 조회
COMTNMENUINFO,ADMIN-CERTIFICATE-OBJECTION-LIST,certificate-objection-list,ADMIN-CERTIFICATE-OBJECTION-LIST-PAGE,AdminMainController.adminFallback,MenuInfoService.selectMenuDetailByUrl,SELECT,LOW,N,이의신청 처리 메뉴 URL이 관리자 fallback 진입점과 연결되어 화면을 노출
COMTNMENUFUNCTIONINFO,ADMIN-CERTIFICATE-OBJECTION-LIST,certificate-objection-list,ADMIN-CERTIFICATE-OBJECTION-LIST-PAGE,AdminMainController.adminFallback,AuthGroupManageService.selectRequiredViewFeatureCodeByMenuUrl,SELECT,LOW,N,메뉴 URL 기준 VIEW 기능 코드 해석
COMTNAUTHORFUNCTIONRELATE,ADMIN-CERTIFICATE-OBJECTION-LIST,certificate-objection-list,ADMIN-CERTIFICATE-OBJECTION-LIST-PAGE,AdminMainController.adminFallback,AuthGroupManageService.hasAuthorFeaturePermission,SELECT,MEDIUM,N,현재 관리자 권한에 따라 이의신청 처리 메뉴 노출 여부 결정
COMTNMENUINFO,ADMIN-CERTIFICATE-OBJECTION-LIST,certificate-objection-list,ADMIN-CERTIFICATE-OBJECTION-LIST-DATA,AdminApprovalController.certificateObjectionListPageApi,MenuInfoService.selectMenuDetailByUrl,SELECT,LOW,N,page-data 호출도 동일 메뉴 URL 권한 체인에 종속
COMTNMENUFUNCTIONINFO,ADMIN-CERTIFICATE-OBJECTION-LIST,certificate-objection-list,ADMIN-CERTIFICATE-OBJECTION-LIST-DATA,AdminApprovalController.certificateObjectionListPageApi,AuthGroupManageService.selectRequiredViewFeatureCodeByMenuUrl,SELECT,LOW,N,메뉴 URL 기준 VIEW 기능 코드 해석
COMTNAUTHORFUNCTIONRELATE,ADMIN-CERTIFICATE-OBJECTION-LIST,certificate-objection-list,ADMIN-CERTIFICATE-OBJECTION-LIST-DATA,AdminApprovalController.certificateObjectionListPageApi,AuthGroupManageService.hasAuthorFeaturePermission,SELECT,MEDIUM,N,page-data 조회 시 관리자 권한 검증
ACCESS_EVENT,ADMIN-EXTERNAL-LOGS,external-logs,ADMIN-EXTERNAL-LOGS-PAGE,AdminObservabilityController.externalLogsPageApi,ObservabilityQueryService.selectAccessEventList,SELECT,LOW,N,외부연계 access 로그를 최근 운영 큐와 지연 집계 기준으로 읽음
ERROR_EVENT,ADMIN-EXTERNAL-LOGS,external-logs,ADMIN-EXTERNAL-LOGS-PAGE,AdminObservabilityController.externalLogsPageApi,ObservabilityQueryService.selectErrorEventList,SELECT,MEDIUM,N,외부연계 오류 로그를 반복 실패와 고위험 이벤트 집계 기준으로 읽음
TRACE_EVENT,ADMIN-EXTERNAL-LOGS,external-logs,ADMIN-EXTERNAL-LOGS-PAGE,AdminObservabilityController.externalLogsPageApi,ObservabilityQueryService.selectTraceEventList,SELECT,LOW,N,외부연계 trace 이벤트를 trace 연계 여부와 watchlist 기준으로 읽음
ACCESS_EVENT,ADMIN-EXTERNAL-MONITORING,external-monitoring,ADMIN-EXTERNAL-MONITORING-PAGE,AdminObservabilityController.externalMonitoringPageApi,ObservabilityQueryService.selectAccessEventList,SELECT,LOW,N,외부연계 호출량과 최근 관측 시각을 통합 모니터링 payload에 반영
ERROR_EVENT,ADMIN-EXTERNAL-MONITORING,external-monitoring,ADMIN-EXTERNAL-MONITORING-PAGE,AdminObservabilityController.externalMonitoringPageApi,ObservabilityQueryService.selectErrorEventList,SELECT,LOW,N,외부연계 오류 집중과 경보 승격 판단 기준을 통합 모니터링 payload에 반영
TRACE_EVENT,ADMIN-EXTERNAL-MONITORING,external-monitoring,ADMIN-EXTERNAL-MONITORING-PAGE,AdminObservabilityController.externalMonitoringPageApi,ObservabilityQueryService.selectTraceEventList,SELECT,LOW,N,외부연계 추적 이벤트와 동기화·웹훅 연계 신호를 통합 모니터링 payload에 반영
COMTNMENUINFO,ADMIN-EMISSION-RESULT-DETAIL,emission-result-detail,ADMIN-EMISSION-RESULT-DETAIL-PAGE,AdminEmissionResultController.emissionResultDetailPage,React admin route forward,SELECT,LOW,N,산정 결과 상세 메뉴 URL과 화면 진입 메타데이터 확인
COMTNMENUFUNCTIONINFO,ADMIN-EMISSION-RESULT-DETAIL,emission-result-detail,ADMIN-EMISSION-RESULT-DETAIL-DATA,AdminEmissionResultController.emissionResultDetailPageApi,AuthGroupManageService.selectRequiredViewFeatureCodeByMenuUrl,SELECT,LOW,N,산정 결과 상세 VIEW 기능코드와 권한 요구사항 확인
COMTNAUTHORFUNCTIONRELATE,ADMIN-EMISSION-RESULT-DETAIL,emission-result-detail,ADMIN-EMISSION-RESULT-DETAIL-DATA,AdminEmissionResultController.emissionResultDetailPageApi,AuthGroupManageService.hasAuthorFeaturePermission,SELECT,MEDIUM,N,현재 관리자 권한에 따라 상세 payload 접근 가능 여부를 판단
COMTNMENUINFO,ADMIN-EMISSION-VALIDATE,emission-validate,ADMIN-EMISSION-VALIDATE-PAGE,AdminEmissionSiteController.emissionValidatePage,React admin route forward,SELECT,LOW,N,검증 관리 메뉴 URL과 화면 진입 메타데이터 확인
COMTNMENUFUNCTIONINFO,ADMIN-EMISSION-VALIDATE,emission-validate,ADMIN-EMISSION-VALIDATE-DATA,AdminEmissionSiteController.emissionValidatePageApi,AuthGroupManageService.selectRequiredViewFeatureCodeByMenuUrl,SELECT,LOW,N,검증 관리 VIEW 기능코드와 권한 요구사항 확인
COMTNAUTHORFUNCTIONRELATE,ADMIN-EMISSION-VALIDATE,emission-validate,ADMIN-EMISSION-VALIDATE-DATA,AdminEmissionSiteController.emissionValidatePageApi,AuthGroupManageService.hasAuthorFeaturePermission,SELECT,MEDIUM,N,현재 관리자 권한에 따라 검증 관리 payload 접근 가능 여부를 판단
COMTNMENUINFO,ADMIN-REFUND-PROCESS,refund-process,ADMIN-REFUND-PROCESS-PAGE,AdminApprovalController.refundProcessPage,React admin route forward,SELECT,LOW,N,환불 처리 메뉴 URL과 화면 진입 메타데이터 확인
COMTNMENUFUNCTIONINFO,ADMIN-REFUND-PROCESS,refund-process,ADMIN-REFUND-PROCESS-DATA,AdminApprovalController.refundProcessPageApi,AuthGroupManageService.selectRequiredViewFeatureCodeByMenuUrl,SELECT,LOW,N,환불 처리 VIEW 기능코드와 권한 요구사항 확인
COMTNAUTHORFUNCTIONRELATE,ADMIN-REFUND-PROCESS,refund-process,ADMIN-REFUND-PROCESS-DATA,AdminApprovalController.refundProcessPageApi,AuthGroupManageService.hasAuthorFeaturePermission,SELECT,MEDIUM,N,현재 관리자 권한에 따라 환불 처리 payload 접근 가능 여부를 판단
